scheme_name,benefits,level,category,tags,combined
Kayaka Spoorthi Scheme Karnataka,"- Financial Assistance of 2,50,000/- per SHG with 10 members. NOTE - Each member gets 15,000/- as a subsidy and 10,000/- as a loan from the corporation. - 33 representation for women artisans and 5 for physically challen",State/ UT,"Women and Child, Business Entrepreneurship","Business Activities,  Financial Assistance,  Leather Industry,  SHG","Kayaka Spoorthi Scheme Karnataka - Financial Assistance of 2,50,000/- per SHG with 10 members. NOTE - Each member gets 15,000/- as a subsidy and 10,000/- as a loan from the corporation. - 33 representation for women artisans and 5 for physically challen Women and Child, Business Entrepreneurship Business Activities,  Financial Assistance,  Leather Industry,  SHG"
Visit of Contract Farming Farmers to the Research Stations in Karnataka,"- Financial Assistance 1,12,500/- per batch of 50 farmers for 3 days.- Learning Program Exposure to the latest agricultural research and innovat",State/ UT,"Agriculture,Rural Environment","Agriculture,  Contract Farming,  Farmer,  Research Stations Visit","Visit of Contract Farming Farmers to the Research Stations in Karnataka - Financial Assistance 1,12,500/- per batch of 50 farmers for 3 days.- Learning Program Exposure to the latest agricultural research and innovat Agriculture,Rural Environment Agriculture,  Contract Farming,  Farmer,  Research Stations Visit"
Scheme for Relief to the Un-registered Workers,"Compensation for Deceased Workers - Financial Assistance of 50,000/- to the dependents of unregistered workers who die in accidents at construction sites or related projects. Relief for Permanent Disabilities - 20,000/- is provided for cases of permanent disability where the disability is 50 or above. - 10,000/- is provided for cases of permanent partial disability where the disabili",State/ UT,Social welfare Empowerment,"Construction Worker,  Death,  Financial Assistance,  Person With Disability","Scheme for Relief to the Un-registered Workers Compensation for Deceased Workers - Financial Assistance of 50,000/- to the dependents of unregistered workers who die in accidents at construction sites or related projects. Relief for Permanent Disabilities - 20,000/- is provided for cases of permanent disability where the disability is 50 or above. - 10,000/- is provided for cases of permanent partial disability where the disabili Social welfare Empowerment Construction Worker,  Death,  Financial Assistance,  Person With Disability"
Adi Dravidar and Tribal Welfare Department-Hostels Special Guides,- Accommodation Hostel facility for all Boys/ Girls Boarders studying upto XII Standard.,State/ UT,"Education Learning, Housing Shelter","Accommodation,  Adi Dravidar,  Education,  Hostels,  Students,  Tribal Welfare","Adi Dravidar and Tribal Welfare Department-Hostels Special Guides - Accommodation Hostel facility for all Boys/ Girls Boarders studying upto XII Standard. Education Learning, Housing Shelter Accommodation,  Adi Dravidar,  Education,  Hostels,  Students,  Tribal Welfare"
Training of Farmers on Pulses Production Technologies,"- Financial Assistance 15,000/- per batch for 50 farmers.- Training Program Training on advanced pulse production techni",State/ UT,"Agriculture,Rural Environment","Agriculture,  Farmer,  Pulses Production,  Training","Training of Farmers on Pulses Production Technologies - Financial Assistance 15,000/- per batch for 50 farmers.- Training Program Training on advanced pulse production techni Agriculture,Rural Environment Agriculture,  Farmer,  Pulses Production,  Training"
Production of Certified Seeds of Maize,"- Financial Assistance ,1000/- per quintal.",State/ UT,"Agriculture,Rural Environment","Agriculture,  Certified Seeds,  Farmer,  Maize,  Production Of Seeds","Production of Certified Seeds of Maize - Financial Assistance ,1000/- per quintal. Agriculture,Rural Environment Agriculture,  Certified Seeds,  Farmer,  Maize,  Production Of Seeds"
Production of Foundation Seeds,"- Financial Assistance 1,000/- per qui",State/ UT,"Agriculture,Rural Environment","Agriculture,  Farmer,  Foundation Seeds,  Seed Production","Production of Foundation Seeds - Financial Assistance 1,000/- per qui Agriculture,Rural Environment Agriculture,  Farmer,  Foundation Seeds,  Seed Production"
Pension Scheme BBOCWWB,"Under this scheme, registered construction workers receive a monthly pension of 1,000/- after attaining the age of 60 y",State/ UT,Social welfare Empowerment,"Building Worker,  Construction Worker,  Labour,  Pension,  Unorganized Worker","Pension Scheme BBOCWWB Under this scheme, registered construction workers receive a monthly pension of 1,000/- after attaining the age of 60 y Social welfare Empowerment Building Worker,  Construction Worker,  Labour,  Pension,  Unorganized Worker"
Padhuke Kuteera Scheme Karnataka,"- Free Paduke Kuteera made of steel material with signage board display arrangement. - Free Tool Kit. NOTE Unit cost for each Kuteera is 1,25,0",State/ UT,Business Entrepreneurship,"Artisans,  Financial Assistance,  Scheduled Caste,  Self-employment","Padhuke Kuteera Scheme Karnataka - Free Paduke Kuteera made of steel material with signage board display arrangement. - Free Tool Kit. NOTE Unit cost for each Kuteera is 1,25,0 Business Entrepreneurship Artisans,  Financial Assistance,  Scheduled Caste,  Self-employment"
Direct Loan Scheme Karnataka,"- Financial assistance with a 50 subsidy and 50 loan. - Total unit cost is 1,00,000/-. - Loan repayment in 24 equal installments with a 4 interest r",State/ UT,Business Entrepreneurship,"Financial Assistance,  Scheduled Caste,  Subsidy,  Unemployed","Direct Loan Scheme Karnataka - Financial assistance with a 50 subsidy and 50 loan. - Total unit cost is 1,00,000/-. - Loan repayment in 24 equal installments with a 4 interest r Business Entrepreneurship Financial Assistance,  Scheduled Caste,  Subsidy,  Unemployed"
Financial Assistance for Education of Children of Beneficiary,"One-time financial assistance per child - Higher Secondary or Equivalent 5,000/- per annum. - B.A./B.Sc/B.Com/Diploma 7,500/- per annum. - Post Graduate Degree/Diploma Course 10,000/- per annum. - Engineering or Medical Degree ï",State/ UT,Education Learning,"Children,  Construction Worker,  Education,  Financial Assistance","Financial Assistance for Education of Children of Beneficiary One-time financial assistance per child - Higher Secondary or Equivalent 5,000/- per annum. - B.A./B.Sc/B.Com/Diploma 7,500/- per annum. - Post Graduate Degree/Diploma Course 10,000/- per annum. - Engineering or Medical Degree ï Education Learning Children,  Construction Worker,  Education,  Financial Assistance"
Skill Development Training Manipur,- Financial assistance covering course training fees. - The financial assistance for boarding and lodging upto 150/- per day. - Stipends or compensation for loss of daily wages during the training period. - Training courses leading to certifications or degrees recognized by the government. - Upgradation of training infrastructure through grants for eligible training provid,State/ UT,Skills Employment,"Construction Worker,  Skill Development,  Training","Skill Development Training Manipur - Financial assistance covering course training fees. - The financial assistance for boarding and lodging upto 150/- per day. - Stipends or compensation for loss of daily wages during the training period. - Training courses leading to certifications or degrees recognized by the government. - Upgradation of training infrastructure through grants for eligible training provid Skills Employment Construction Worker,  Skill Development,  Training"
Adi Dravidar and Tribal Welfare Department Scholarship-Free Education upto 12th Std. to All,- Reimbursement Full reimbursement of tuition fees for students up to the 12th standard.,State/ UT,Education Learning,"Adi Dravidar,  Free Education,  Scholarship,  Tribal Welfare","Adi Dravidar and Tribal Welfare Department Scholarship-Free Education upto 12th Std. to All - Reimbursement Full reimbursement of tuition fees for students up to the 12th standard. Education Learning Adi Dravidar,  Free Education,  Scholarship,  Tribal Welfare"
Awards to Bright Students,Financial Assistance - For the first year 800/-. - For the next five years per year 960/-.,State/ UT,Education Learning,"Cash Award,  Education,  Students,  Topper,  Tribal Welfare","Awards to Bright Students Financial Assistance - For the first year 800/-. - For the next five years per year 960/-. Education Learning Cash Award,  Education,  Students,  Topper,  Tribal Welfare"
Annal Gandhi Memorial Award,"- In first year 2,000/-. - For the succeeding five years 1,500/-",State/ UT,Education Learning,"Award,  Education,  Examination,  Tribal Welfare","Annal Gandhi Memorial Award - In first year 2,000/-. - For the succeeding five years 1,500/- Education Learning Award,  Education,  Examination,  Tribal Welfare"
Incentive for the Inter Caste Marriage Couple,"Incentive Amount - 2,50,000/- for SC men marrying a woman from another caste. - 3,00,000/- for SC women marrying a man from another caste. Subsidy Disbursement The incentive is provided in two installments. - 50 in cash. - 50 as a fixed deposit with a minimum term o",State/ UT,Social welfare Empowerment,"Financial Assistance,  Inter-caste,  Marriage","Incentive for the Inter Caste Marriage Couple Incentive Amount - 2,50,000/- for SC men marrying a woman from another caste. - 3,00,000/- for SC women marrying a man from another caste. Subsidy Disbursement The incentive is provided in two installments. - 50 in cash. - 50 as a fixed deposit with a minimum term o Social welfare Empowerment Financial Assistance,  Inter-caste,  Marriage"
